#temp,#2.1,#1.76,#1.2,#0.7
0.726,1.70337,1.69956,1.51262,1.22975
0.727,1.70876,1.70328,1.51388,1.22993
0.728,1.71416,1.70698,1.51514,1.23011
0.729,1.71794,1.70921,1.51542,1.22987
0.73,1.72171,1.71143,1.51569,1.22964
0.731,1.72708,1.7151,1.51692,1.22981
0.732,1.73244,1.71875,1.51814,1.22997
0.733,1.73619,1.72093,1.51838,1.22973
0.734,1.74153,1.72456,1.51958,1.22989
0.735,1.74687,1.72818,1.52077,1.23005
0.736,1.74896,1.72886,1.52004,1.22939
0.737,1.75427,1.73245,1.52121,1.22954
0.738,1.75959,1.73603,1.52237,1.22969
0.739,1.76326,1.73813,1.52257,1.22943
0.74,1.76855,1.74168,1.52371,1.22957
0.741,1.77384,1.74521,1.52484,1.22971
0.742,1.77748,1.74728,1.52501,1.22945
0.743,1.78111,1.74932,1.52517,1.22918
0.744,1.78636,1.75282,1.52628,1.22931
0.745,1.79161,1.7563,1.52737,1.22944
0.746,1.79685,1.75977,1.52846,1.22956
0.747,1.80043,1.76176,1.52858,1.22928
0.748,1.80399,1.76373,1.5287,1.229
0.749,1.80919,1.76716,1.52976,1.22912
0.75,1.81439,1.77057,1.5308,1.22923
0.751,1.81957,1.77397,1.53184,1.22933
0.752,1.84135,1.79205,1.54226,1.23334
0.753,1.84664,1.79549,1.54327,1.23342
0.754,1.83345,1.78263,1.53391,1.22922
0.755,1.83859,1.78596,1.5349,1.22931
0.756,1.84373,1.78929,1.53588,1.2294
0.757,1.84884,1.7926,1.53685,1.22948
0.758,1.85396,1.7959,1.53781,1.22956
0.759,1.85738,1.79771,1.53783,1.22925
0.76,1.86246,1.80097,1.53877,1.22932
0.761,1.86753,1.80422,1.53969,1.22939
0.762,1.87259,1.80746,1.54061,1.22946
0.763,1.87764,1.81067,1.54151,1.22952
0.764,1.88099,1.8124,1.54148,1.2292
0.765,1.886,1.81558,1.54236,1.22925
0.766,1.89102,1.81876,1.54324,1.2293
0.767,1.89431,1.82043,1.54318,1.22897
0.768,1.89929,1.82356,1.54403,1.22902
0.769,1.90595,1.82816,1.54579,1.22944
0.77,1.91091,1.83127,1.54662,1.22947
0.771,1.91414,1.83287,1.54652,1.22913
0.772,1.91906,1.83594,1.54732,1.22916
0.773,1.92226,1.83751,1.5472,1.22881
0.774,1.92714,1.84054,1.54799,1.22883
0.775,1.93373,1.84504,1.54967,1.22922
0.776,1.93859,1.84803,1.55043,1.22923
0.777,1.94173,1.84954,1.55027,1.22887
0.778,1.94654,1.85249,1.55101,1.22888
0.779,1.95308,1.85691,1.55264,1.22925
0.78,1.95615,1.85836,1.55245,1.22888
0.781,1.96092,1.86126,1.55315,1.22887
0.782,1.96741,1.86563,1.55474,1.22923
0.783,1.97043,1.86702,1.55451,1.22885
0.784,1.97515,1.86986,1.55518,1.22883
0.785,1.97986,1.87269,1.55583,1.22881
0.786,1.98454,1.8755,1.55647,1.22878
0.787,1.98922,1.87829,1.5571,1.22875
0.788,1.99386,1.88105,1.55772,1.22872
0.789,2.00023,1.88528,1.55922,1.22904
